Question,SQL,User_info
"List all students who have failed 3 or more courses, showing their full name, major, and the total count of failed courses.","SELECT
  U.fullname,
  M.major_name,
  COUNT(E.enrollment_id) AS number_of_failed_courses
FROM Enrollments AS E
JOIN Students AS S
  ON E.student_id = S.student_id
JOIN Users AS U
  ON S.student_id = U.user_id
JOIN Majors AS M
  ON S.major_id = M.major_id
WHERE
  E.status = 'Failed'
GROUP BY
  U.fullname,
  M.major_name
HAVING
  COUNT(E.enrollment_id) >= 3;","Role: Training Manager, ID: TM001"
"List all students who failed my courses in the SP24 semester, along with the course name and their average score.","SELECT
  U.fullname,
  C.course_name,
  E.average
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Students AS S
  ON E.student_id = S.student_id
JOIN Users AS U
  ON S.student_id = U.user_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.lecturer_id = 'LEC001' AND E.status = 'Failed' AND CC.semester = 'SP24';","Role: Lecturer, ID: LEC001"
What is the total number of students enrolled in each major?,"SELECT
  M.major_name,
  COUNT(S.student_id) AS number_of_students
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
GROUP BY
  M.major_name
ORDER BY
  number_of_students DESC;","Role: Training Manager, ID: TM001"
"For the SU24 semester, can you give me a breakdown of pass and fail counts for every course?","SELECT
    C.course_name,
    SUM(CASE WHEN E.status = 'Passed' THEN 1 ELSE 0 END) AS passed_count,
    SUM(CASE WHEN E.status = 'Failed' THEN 1 ELSE 0 END) AS failed_count
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE
    CC.semester = 'SU24'
GROUP BY
    C.course_name
ORDER BY
    C.course_name;","Role: Training Manager, ID: TM001"
What are my grades for the 'Programming Fundamentals' course?,"SELECT
  CG.grade_name,
  SGD.grade_value,
  SGD.comment
FROM StudentGradeDetails AS SGD
JOIN Enrollments AS E
  ON SGD.enrollment_id = E.enrollment_id
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
JOIN CourseGrade AS CG
  ON SGD.course_grade_id = CG.course_grade_id
  AND C.course_id = CG.course_id
WHERE
  E.student_id = 'HE00001'
  AND C.course_name = 'Programming Fundamentals';","Role: Student, ID: HE00001"
Which lecturers are teaching the most classes in the SU24 semester? Please list them in descending order of their class count.,"SELECT
  U.fullname,
  COUNT(CC.class_course_id) AS class_count
FROM ClassCourse AS CC
JOIN Lecturers AS L
  ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
  ON L.lecturer_id = U.user_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  U.fullname
ORDER BY
  class_count DESC;","Role: Training Manager, ID: TM001"
"Could you provide a count of students who have passed, failed, and are still studying for each course in the SU24 semester?","SELECT
  C.course_name,
  E.status,
  COUNT(E.student_id) AS number_of_students
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  C.course_name,
  E.status
ORDER BY
  C.course_name,
  E.status;","Role: Training Manager, ID: TM001"
What are the top 5 courses with the highest student failure rates?,"SELECT
    C.course_name,
    CAST(SUM(CASE WHEN E.status = 'Failed' THEN 1 ELSE 0 END) AS REAL) * 100.0 / COUNT(E.enrollment_id) AS failure_rate
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE
    E.status IN ('Passed', 'Failed')
GROUP BY
    C.course_name
ORDER BY
    failure_rate DESC
LIMIT 5;","Role: Training Manager, ID: TM001"
"How many lecturers are in each department? Please list the department name and the total count, ordered from most to least.","SELECT
    D.dep_name,
    COUNT(L.lecturer_id) AS number_of_lecturers
FROM
    Departments AS D
JOIN
    Lecturers AS L ON D.dep_id = L.dep_id
GROUP BY
    D.dep_id, D.dep_name
ORDER BY
    number_of_lecturers DESC","Role: Training Manager, ID: TM001"
What are the pass and fail counts for each course?,"SELECT
  C.course_name,
  SUM(CASE WHEN E.status = 'Passed' THEN 1 ELSE 0 END) AS passed_count,
  SUM(CASE WHEN E.status = 'Failed' THEN 1 ELSE 0 END) AS failed_count
FROM Courses AS C
LEFT JOIN ClassCourse AS CC
  ON C.course_id = CC.course_id
LEFT JOIN Enrollments AS E
  ON CC.class_course_id = E.class_course_id
WHERE
  E.status IN ('Passed', 'Failed')
GROUP BY
  C.course_name
ORDER BY
  C.course_name;","Role: Training Manager, ID: TM001"
"What is the average grade for each course, and which 5 courses have the highest averages?","SELECT
    C.course_name,
    AVG(E.average) AS average_grade
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
GROUP BY
    C.course_name
ORDER BY
    average_grade DESC
LIMIT 5;","Role: Training Manager, ID: TM001"
"What is the average grade for each major based on completed courses, and how many students are there in each major?","SELECT
    M.major_name,
    COUNT(DISTINCT S.student_id) AS number_of_students,
    AVG(E.average) AS average_grade
FROM Majors AS M
JOIN Students AS S
    ON M.major_id = S.major_id
JOIN Enrollments AS E
    ON S.student_id = E.student_id
WHERE
    E.status IN ('Passed', 'Failed')
GROUP BY
    M.major_name
ORDER BY
    average_grade DESC;","Role: Training Manager, ID: TM001"
"Which of my students failed the Programming Fundamentals class, AI01, and what were their final averages?","SELECT
  S.student_id,
  U.fullname,
  E.average
FROM Enrollments AS E
JOIN Students AS S
  ON E.student_id = S.student_id
JOIN Users AS U
  ON S.student_id = U.user_id
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
JOIN Classes AS CL
  ON CC.class_id = CL.class_id
WHERE
  CC.lecturer_id = 'LEC001'
  AND C.course_name = 'Programming Fundamentals'
  AND CL.class_name = 'AI01'
  AND E.status = 'Failed';","Role: Lecturer, ID: LEC001"
Which lecturers are teaching the most courses across all semesters? List the top 5.,"SELECT
  U.fullname,
  COUNT(CC.class_course_id) AS course_count
FROM ClassCourse AS CC
JOIN Lecturers AS L
  ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
  ON L.lecturer_id = U.user_id
GROUP BY
  U.fullname
ORDER BY
  course_count DESC
LIMIT 5","Role: Training Manager, ID: TM001"
Which students have failed more than one course? Please show their full name and the total count of failed courses.,"SELECT
  U.fullname,
  COUNT(E.enrollment_id) AS failed_courses_count
FROM Enrollments AS E
JOIN Users AS U
  ON E.student_id = U.user_id
WHERE
  E.status = 'Failed'
GROUP BY
  U.user_id,
  U.fullname
HAVING
  COUNT(E.enrollment_id) > 1
ORDER BY
  failed_courses_count DESC;","Role: Training Manager, ID: TM001"
