SQL,result
"SELECT
    COUNT(cc.class_course_id)
FROM
    ClassCourse CC
JOIN Courses C ON CC.course_id = C.course_id
Join Enrollments E on E.class_course_id = cc.class_course_id
JOIN Students ST ON E.student_id = ST.student_id
JOIN Users U ON ST.student_id = U.user_id
WHERE
    U.user_id = 'HE001'  
    AND C.course_name = 'Machine Learning'  ","[{"""": 0}]"
"SELECT COUNT(*) 
FROM Schedules s 
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id 
WHERE cc.class_id = 'IA01'","[{"""": 0}]"
"SELECT
  COUNT(*)
FROM Courses;","[{"""": 20}]"
"SELECT
  COUNT(DISTINCT class_id)
FROM ClassCourse
WHERE
  semester = 'FA24';","[{"""": 0}]"
"SELECT COUNT(DISTINCT cc.lecturer_id) 
FROM Schedules s JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id 
WHERE CAST(s.start_time AS DATE) = '2024-09-09'","[{"""": 0}]"
"SELECT
  COUNT(DISTINCT student_id)
FROM Students;","[{"""": 50}]"
"SELECT MIN(start_time) 
FROM Schedules s 
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id 
JOIN Courses c ON cc.course_id = c.course_id 
WHERE c.course_name = 'Machine Learning' AND CAST(s.start_time AS DATE) = '2025-01-06'","[{"""": null}]"
"SELECT
  COUNT(DISTINCT S.student_id)
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
JOIN Users AS U
  ON S.student_id = U.user_id
WHERE
  M.major_name = 'Software Engineering' AND U.user_gender = 'female';","[{"""": 7}]"
"SELECT
  COUNT(*)
FROM Courses
WHERE
  course_name LIKE 'I%';","[{"""": 2}]"
"SELECT
  COUNT(DISTINCT CC.course_id)
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
WHERE
  E.student_id = 'HE001';","[{"""": 0}]"
"SELECT
  COUNT(*)
FROM Classes;","[{"""": 8}]"
"SELECT
  COUNT(*)
FROM Departments;","[{"""": 4}]"
"SELECT count(DISTINCT major_id)
FROM Curriculums
WHERE course_id = 'CEA';","[{"""": 0}]"
"SELECT
  COUNT(DISTINCT A.enrollment_id)
FROM Attendance AS A
JOIN Schedules AS S
  ON A.schedule_id = S.schedule_id
JOIN ClassCourse AS CC
  ON S.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.class_id = 'AI01'
  AND C.course_name = 'Machine Learning'
  AND A.status = 'Present'
  AND CAST(S.start_time AS DATE) = '2025-01-08';","[{"""": 0}]"
"SELECT MAX(sgd.grade_value) 
FROM StudentGradeDetails sgd JOIN Enrollments e ON sgd.enrollment_id = e.enrollment_id 
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id 
WHERE e.student_id = 'HE001' AND cc.course_id = 'MAE'","[{"""": null}]"
"SELECT DATENAME(weekday, s.start_time) 
FROM Schedules s 
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id 
JOIN Courses c ON cc.course_id = c.course_id 
WHERE cc.class_id = 'AI01' AND c.course_name = 'Machine Learning' 
GROUP BY DATENAME(weekday, s.start_time)",Không có dòng nào được trả về.
"SELECT
  E.average AS AverageGrade,
  E.status AS EnrollmentStatus
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE001' AND C.course_name = 'Machine Learning' AND CC.class_id = 'AI01';",Không có dòng nào được trả về.
"SELECT
    AVG(E.average) AS AverageGrade
FROM
    Enrollments E
JOIN ClassCourse CC ON E.class_course_id = CC.class_course_id
JOIN Courses C ON CC.course_id = C.course_id
WHERE
    C.course_id = 'MAE' 
    AND E.status <> 'Studying';","[{""AverageGrade"": null}]"
"SELECT
  COUNT(DISTINCT cc.class_id) AS class_count
FROM Schedules AS s
JOIN ClassCourse AS cc
  ON s.class_course_id = cc.class_course_id
WHERE
  CAST(s.start_time AS DATE) = '2025-01-06';","[{""class_count"": 0}]"
"SELECT
  cc.class_id
FROM ClassCourse AS cc
JOIN Courses AS c
  ON cc.course_id = c.course_id
WHERE
  c.course_name = 'Machine Learning' AND cc.semester = 'SP25';",Không có dòng nào được trả về.
