Category,Question,SQL,Result,Condition,Table Used,Element
User/Student Information,What is my student ID?,Select student_id from Students where student_id='HE001',"[
  {
  ""student_id"": ""HE001""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}",['Students'],"['FROM', 'SELECT', 'WHERE']"
User/Student Information,What is my major?,"SELECT
  M.major_name
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
WHERE
  S.student_id = 'HE001';","[
  {
  ""major_name"": ""Artificial Intelligence""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['Majors', 'Students']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
User/Student Information,When did I start studying at the school?,"SELECT start_date
FROM Students
WHERE student_id = 'HE001';","[
  {
  ""start_date"": ""2024-09-01""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}",['Students'],"['FROM', 'SELECT', 'WHERE']"
User/Student Information,What was the first semester I studied at the school?,"SELECT start_semester
FROM Students
WHERE student_id = 'HE001';","[
  {
  ""start_semester"": ""FA24""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}",['Students'],"['FROM', 'SELECT', 'WHERE']"
User/Student Information,Find users with birthdays in January.,"SELECT username, fullname
FROM Users
WHERE
  MONTH(user_dob) = 1;","[
  {
  ""username"": ""hailt"",
  ""fullname"": ""Hai""
  },
  {
  ""username"": ""phuongvtm"",
  ""fullname"": ""Phuong""
  },
  {
  ""username"": ""trangbtt"",
  ""fullname"": ""Trang""
  },
  {
  ""username"": ""userq"",
  ""fullname"": ""Student Q""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Users'],"['FROM', 'SELECT', 'WHERE']"
User/Student Information,Find students whose names start with 'Student'.,"SELECT S.student_id, U.fullname
FROM Students AS S
JOIN Users AS U ON S.student_id = U.user_id
WHERE U.fullname LIKE 'Student%';","[
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E""
  },
  {
  ""student_id"": ""HE006"",
  ""fullname"": ""Student F""
  },
  {
  ""student_id"": ""HE007"",
  ""fullname"": ""Student G""
  },
  {
  ""student_id"": ""HE008"",
  ""fullname"": ""Student H""
  },
  {
  ""student_id"": ""HE009"",
  ""fullname"": ""Student I""
  },
  {
  ""student_id"": ""HE010"",
  ""fullname"": ""Student J""
  },
  {
  ""student_id"": ""HE011"",
  ""fullname"": ""Student K""
  },
  {
  ""student_id"": ""HE012"",
  ""fullname"": ""Student L""
  },
  {
  ""student_id"": ""HE013"",
  ""fullname"": ""Student M""
  },
  {
  ""student_id"": ""HE014"",
  ""fullname"": ""Student N""
  },
  {
  ""student_id"": ""HE015"",
  ""fullname"": ""Student O""
  },
  {
  ""student_id"": ""HE016"",
  ""fullname"": ""Student P""
  },
  {
  ""student_id"": ""HE017"",
  ""fullname"": ""Student Q""
  },
  {
  ""student_id"": ""HE018"",
  ""fullname"": ""Student R""
  },
  {
  ""student_id"": ""HE019"",
  ""fullname"": ""Student S""
  },
  {
  ""student_id"": ""HE020"",
  ""fullname"": ""Student T""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Students', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
User/Student Information,How many female students are in the 'Software Engineering' major?,"SELECT
  COUNT(DISTINCT S.student_id)
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
JOIN Users AS U
  ON S.student_id = U.user_id
WHERE
  M.major_name = 'Software Engineering' AND U.user_gender = 'female';","[
  {
  """": ""3""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Majors', 'Students', 'Users']","['AND', 'AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
User/Student Information,Show the list of students in the 'Artificial Intelligence' major.,"SELECT
  S.student_id,
  U.fullname
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
JOIN Users AS U
  ON S.student_id = U.user_id
WHERE
  M.major_name = 'Artificial Intelligence';","[
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Majors', 'Students', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
User/Student Information,Show a list of students (ID and name) and their majors.,"SELECT
  S.student_id,
  U.fullname,
  M.major_name
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
JOIN Users AS U
  ON S.student_id = U.user_id;","[
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""student_id"": ""HE006"",
  ""fullname"": ""Student F"",
  ""major_name"": ""Information System""
  },
  {
  ""student_id"": ""HE007"",
  ""fullname"": ""Student G"",
  ""major_name"": ""Information System""
  },
  {
  ""student_id"": ""HE008"",
  ""fullname"": ""Student H"",
  ""major_name"": ""Information System""
  },
  {
  ""student_id"": ""HE009"",
  ""fullname"": ""Student I"",
  ""major_name"": ""Information System""
  },
  {
  ""student_id"": ""HE010"",
  ""fullname"": ""Student J"",
  ""major_name"": ""Information System""
  },
  {
  ""student_id"": ""HE011"",
  ""fullname"": ""Student K"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""student_id"": ""HE012"",
  ""fullname"": ""Student L"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""student_id"": ""HE013"",
  ""fullname"": ""Student M"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""student_id"": ""HE014"",
  ""fullname"": ""Student N"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""student_id"": ""HE015"",
  ""fullname"": ""Student O"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""student_id"": ""HE016"",
  ""fullname"": ""Student P"",
  ""major_name"": ""Software Engineering""
  },
  {
  ""student_id"": ""HE017"",
  ""fullname"": ""Student Q"",
  ""major_name"": ""Software Engineering""
  },
  {
  ""student_id"": ""HE018"",
  ""fullname"": ""Student R"",
  ""major_name"": ""Software Engineering""
  },
  {
  ""student_id"": ""HE019"",
  ""fullname"": ""Student S"",
  ""major_name"": ""Software Engineering""
  },
  {
  ""student_id"": ""HE020"",
  ""fullname"": ""Student T"",
  ""major_name"": ""Software Engineering""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Majors', 'Students', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT']"
User/Student Information,How many students are there in total at the school?,"SELECT
  COUNT(DISTINCT student_id)
FROM Students;","[
  {
  """": ""20""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Students'],"['DISTINCT', 'FROM', 'SELECT']"
